Millis,Sensor,X,Y,Z
1244406,A,0.993286,-0.073975,-0.037720
1244411,G,1.586914,-0.366211,0.122070
1244416,A,0.995728,-0.071777,-0.016235
1244421,M,-8.837891,35.156250,-27.941895
1244425,G,1.342773,-0.366211,0.122070
1244430,A,0.995850,-0.072144,-0.039063
1244435,G,2.075195,-0.488281,0.244141
1244440,A,0.999512,-0.078491,0.007568
1244445,G,1.708984,-0.671387,0.244141
1244450,A,0.999023,-0.069946,-0.062134
1244455,G,1.831055,-0.671387,0.183105
1244460,A,0.998413,-0.076538,0.002808
1244465,M,-8.618164,36.010742,-26.208496
1244469,G,1.403809,-0.122070,0.122070
1244474,A,0.995117,-0.070312,-0.022095
1244479,G,2.075195,-0.366211,0.183105
1244484,A,0.995605,-0.077148,-0.000732
1244489,G,1.525879,-0.549316,0.244141
1244494,A,0.993164,-0.068970,-0.046997
1244499,G,1.708984,-0.671387,0.366211
1244504,A,1.000122,-0.079712,0.014160
1244509,G,1.770020,-0.183105,0.305176
1244514,A,0.995483,-0.069946,-0.063721
1244519,M,-9.082031,34.777832,-26.794434
1244523,G,1.892090,-0.610352,0.061035
1244528,A,0.994873,-0.071533,-0.037842
1244533,G,2.380371,-0.549316,0.305176
1244538,A,0.995483,-0.072754,-0.014771
1244543,G,1.586914,-0.549316,0.183105
1244548,A,0.995117,-0.074951,-0.010742
1244553,G,2.136230,-0.427246,0.183105
1244558,A,0.993286,-0.072876,0.008179
1244563,G,1.770020,-0.671387,0.183105
1244568,A,0.998779,-0.070801,-0.050781
1244573,M,-8.630371,35.363770,-26.525879
1244577,G,1.953125,-0.610352,0.122070
1244582,A,0.998413,-0.075684,-0.003662
1244587,G,1.342773,-0.366211,0.244141
1244592,A,0.994995,-0.074341,-0.019043
1244597,G,2.014160,-0.549316,0.183105
1244602,A,0.995117,-0.079468,-0.025879
1244607,G,1.281738,-0.427246,0.122070
1244612,A,0.993408,-0.069946,-0.043091
1244617,M,-8.691406,35.827637,-27.490234
1244621,G,1.770020,-0.549316,0.183105
1244626,A,0.996582,-0.077881,0.011841
1244631,G,1.647949,-0.244141,0.122070
1244636,A,0.998169,-0.077271,0.000244
1244641,G,1.953125,-0.854492,0.122070
1244646,A,0.993896,-0.072632,-0.026001
1244651,G,1.708984,-0.366211,0.244141
1244656,A,0.993652,-0.071289,-0.015869
1244661,G,1.464844,-0.488281,0.244141
1244666,A,0.995972,-0.078735,-0.015137
1244671,M,-7.983398,35.278320,-27.124023
1244675,G,2.136230,-0.305176,0.244141
1244680,A,0.999512,-0.080566,0.036499
1244685,G,1.831055,-0.488281,0.122070
1244690,A,0.999512,-0.073730,-0.060425
1244695,G,1.953125,-0.732422,0.183105
1244700,A,1.000000,-0.076416,0.010010
1244705,G,1.525879,-0.366211,0.244141
1244710,A,0.993530,-0.075317,-0.036133
1244715,G,2.136230,-0.427246,0.061035
1244720,A,0.994385,-0.072998,-0.020264
1244725,M,-8.154297,35.693359,-25.659180
1244730,G,1.708984,-0.183105,0.000000
1244734,A,0.992676,-0.067505,-0.042358
1244739,G,1.586914,-0.671387,0.122070
1244744,A,0.999146,-0.078857,0.020142
1244749,G,1.586914,-0.244141,0.183105
1244754,A,0.995239,-0.069458,-0.072021
1244759,G,1.831055,-0.671387,0.244141
1244764,A,0.994873,-0.073486,-0.022583
1244769,M,-8.728027,34.655762,-27.111816
1244774,G,2.075195,-0.549316,0.061035
1244778,A,0.996582,-0.070557,-0.013550
1244784,G,1.281738,-0.549316,0.183105
1244789,A,0.996826,-0.077026,-0.037231
1244794,G,2.075195,-0.244141,0.183105
1244799,A,0.997192,-0.080688,0.024902
1244804,G,1.708984,-0.610352,0.122070
1244809,A,0.995972,-0.070190,-0.058228
1244814,G,1.831055,-0.244141,0.183105
1244819,A,1.000122,-0.075928,0.006104
1244824,M,-8.520508,36.425781,-27.258301
1244828,G,1.342773,-0.183105,0.244141
1244833,A,0.993652,-0.069824,-0.024414
1244838,G,2.197266,-0.427246,0.183105
1244843,A,0.995728,-0.078735,-0.005249
1244848,G,1.464844,-0.427246,0.122070
1244853,A,0.991943,-0.069824,-0.036255
1244858,G,1.586914,-0.732422,0.183105
1244863,A,0.998901,-0.078369,0.002686
1244868,M,-8.764648,34.790039,-27.551270
1244872,G,1.647949,-0.305176,0.183105
1244877,A,0.997925,-0.074951,0.005249
1244882,G,2.136230,-0.610352,0.122070
1244887,A,0.993774,-0.077515,-0.018921
1244892,G,2.319336,-0.427246,0.122070
1244897,A,0.992920,-0.070801,-0.045288
