Millis,Sensor,X,Y,Z
662274,G,1.831055,-0.366211,0.061035
662279,A,0.997314,-0.074707,-0.017700
662284,G,1.770020,-0.366211,0.244141
662289,A,0.996826,-0.074829,-0.017944
662294,G,1.770020,-0.366211,0.366211
662299,A,0.996094,-0.074463,-0.017822
662304,G,1.953125,-0.488281,0.244141
662309,A,0.997314,-0.074219,-0.017578
662314,M,-9.509277,36.828613,-26.208496
662318,G,1.770020,-0.427246,0.183105
662323,A,0.996582,-0.075195,-0.017090
662328,G,1.708984,-0.488281,0.183105
662333,A,0.997681,-0.074585,-0.017456
662338,G,1.708984,-0.427246,0.183105
662343,A,0.996826,-0.074097,-0.018066
662348,G,1.831055,-0.366211,0.122070
662353,A,0.996338,-0.074463,-0.017090
662358,M,-8.972168,36.840820,-26.281738
662362,G,1.708984,-0.366211,0.061035
662367,A,0.996948,-0.075806,-0.018066
662372,G,1.647949,-0.488281,0.244141
662377,A,0.996704,-0.075195,-0.018066
662382,G,1.892090,-0.427246,0.244141
662387,A,0.996704,-0.074951,-0.016846
662392,G,2.014160,-0.305176,0.305176
662397,A,0.996338,-0.073853,-0.018188
662402,G,1.953125,-0.305176,0.183105
662407,A,0.997314,-0.074951,-0.016968
662412,M,-9.326172,37.023926,-26.281738
662416,G,1.708984,-0.488281,0.183105
662421,A,0.996582,-0.074219,-0.018677
662426,G,1.708984,-0.488281,0.122070
662431,A,0.996582,-0.074219,-0.017090
662436,G,1.708984,-0.488281,0.000000
662441,A,0.996460,-0.075073,-0.018188
662446,G,1.831055,-0.488281,0.183105
662451,A,0.996338,-0.075073,-0.017456
662456,G,1.708984,-0.305176,0.122070
662461,A,0.998047,-0.074585,-0.017334
662466,M,-9.020996,37.072754,-26.269531
662470,G,1.586914,-0.366211,0.183105
662475,A,0.996582,-0.074463,-0.017700
662480,G,1.708984,-0.305176,0.183105
662485,A,0.997437,-0.074463,-0.017334
662490,G,1.770020,-0.305176,0.183105
662495,A,0.997192,-0.074219,-0.017822
662500,G,1.831055,-0.488281,0.183105
662505,A,0.997192,-0.075073,-0.017334
662510,M,-9.191895,37.353516,-26.293945
662514,G,1.892090,-0.488281,0.244141
662519,A,0.996094,-0.074341,-0.017578
662524,G,1.525879,-0.305176,0.183105
662529,A,0.996826,-0.074829,-0.016846
662534,G,1.770020,-0.488281,0.122070
662539,A,0.997314,-0.074707,-0.018799
662544,G,1.831055,-0.549316,0.183105
662549,A,0.997070,-0.074707,-0.018188
662554,G,2.075195,-0.366211,0.183105
662559,A,0.996582,-0.074829,-0.017822
662564,M,-9.057617,37.023926,-26.452637
662568,G,1.892090,-0.244141,0.122070
662573,A,0.996216,-0.075195,-0.018433
662578,G,1.770020,-0.305176,0.305176
662583,A,0.995850,-0.074829,-0.017822
662588,G,1.953125,-0.305176,0.183105
662593,A,0.997192,-0.074707,-0.017822
662598,G,1.708984,-0.427246,0.183105
662603,A,0.996460,-0.074951,-0.016602
662608,G,1.708984,-0.427246,0.183105
662613,A,0.996704,-0.074463,-0.017944
662618,M,-9.619141,36.743164,-26.635742
662622,G,1.770020,-0.427246,0.122070
662627,A,0.997192,-0.074341,-0.018188
662632,G,1.708984,-0.488281,0.244141
662637,A,0.995850,-0.074097,-0.017334
662642,G,1.647949,-0.488281,0.183105
662647,A,0.996216,-0.075439,-0.018677
662652,G,1.708984,-0.366211,0.244141
662657,A,0.997192,-0.073853,-0.017944
662662,M,-9.277344,37.182617,-26.013184
662666,G,1.770020,-0.366211,0.122070
662671,A,0.995605,-0.074463,-0.016602
662676,G,1.525879,-0.427246,0.061035
662681,A,0.995972,-0.073608,-0.018311
662686,G,1.647949,-0.488281,0.122070
662691,A,0.996704,-0.073853,-0.018188
662696,G,1.647949,-0.366211,0.244141
662701,A,0.996826,-0.074463,-0.017090
662706,G,1.708984,-0.366211,0.122070
662711,A,0.996338,-0.074341,-0.018188
662716,M,-9.594727,37.634277,-26.086426
662720,G,1.892090,-0.427246,0.122070
662725,A,0.996338,-0.074463,-0.017456
662730,G,1.708984,-0.305176,0.122070
662735,A,0.996948,-0.074829,-0.017212
662740,G,1.953125,-0.427246,0.122070
662745,A,0.997070,-0.074707,-0.017334
662750,G,1.892090,-0.305176,0.061035
662755,A,0.995972,-0.073975,-0.018066
662760,G,1.831055,-0.427246,0.183105
662765,A,0.996704,-0.075439,-0.017456
662770,M,-9.387207,36.462402,-25.769043
662774,G,1.770020,-0.427246,0.183105
662779,A,0.996338,-0.074219,-0.018311
662784,G,1.708984,-0.427246,0.183105
662789,A,0.996582,-0.074585,-0.018311
662794,G,1.953125,-0.305176,0.183105
662799,A,0.996460,-0.074097,-0.017090
662804,G,1.953125,-0.366211,0.244141
662809,A,0.997070,-0.074097,-0.017822
662814,M,-9.765625,37.060547,-26.904297
662818,G,1.831055,-0.427246,0.122070
662823,A,0.995728,-0.074463,-0.017090
662828,G,1.647949,-0.305176,0.183105
662833,A,0.996094,-0.074219,-0.018311
662838,G,2.014160,-0.427246,0.427246
662843,A,0.997314,-0.075317,-0.017090
662848,G,1.892090,-0.366211,0.305176
662853,A,0.996948,-0.074585,-0.017212
662858,G,1.770020,-0.244141,0.244141
662863,A,0.996704,-0.074341,-0.018188
662868,M,-9.069824,36.645508,-27.282715
662872,G,1.770020,-0.488281,0.305176
662877,A,0.996704,-0.074829,-0.017334
662882,G,1.831055,-0.549316,0.244141
662887,A,0.997314,-0.074463,-0.018433
662892,G,1.892090,-0.488281,0.061035
662897,A,0.997070,-0.074463,-0.017578
662902,G,1.831055,-0.427246,0.183105
662907,A,0.997314,-0.074341,-0.017334
662912,G,1.831055,-0.549316,0.183105
662917,A,0.998047,-0.074829,-0.018066
662922,M,-9.436035,36.694336,-26.147461
662926,G,1.708984,-0.549316,0.122070
662931,A,0.997070,-0.073608,-0.017578
662936,G,1.831055,-0.488281,0.183105
662941,A,0.996582,-0.073853,-0.016724
662946,G,2.014160,-0.305176,0.061035
662951,A,0.997681,-0.073975,-0.017090
662956,G,1.892090,-0.366211,0.122070
662961,A,0.996826,-0.074951,-0.016479
662966,M,-9.362793,36.499023,-25.683594
662970,G,1.892090,-0.427246,0.122070
662975,A,0.996704,-0.074585,-0.017578
662980,G,1.831055,-0.427246,0.183105
662985,A,0.996460,-0.074219,-0.019043
662990,G,1.953125,-0.549316,0.183105
662995,A,0.996338,-0.074097,-0.017090
663000,G,1.892090,-0.366211,0.183105
663005,A,0.996460,-0.074585,-0.017090
663010,G,1.953125,-0.488281,0.183105
663015,A,0.997559,-0.074829,-0.016479
663020,M,-9.533691,36.791992,-25.854492
663024,G,1.647949,-0.427246,0.061035
663029,A,0.996216,-0.074097,-0.017822
663034,G,1.770020,-0.427246,0.183105
663039,A,0.996826,-0.074097,-0.017456
663044,G,1.770020,-0.488281,0.244141
663049,A,0.997314,-0.073608,-0.018921
663054,G,1.892090,-0.427246,0.305176
663059,A,0.996582,-0.074219,-0.017456
663064,G,1.953125,-0.427246,0.061035
663069,A,0.998169,-0.074219,-0.017944
663074,M,-9.680176,36.767578,-26.379395
663078,G,1.586914,-0.305176,0.183105
663083,A,0.996582,-0.074829,-0.017822
663088,G,1.708984,-0.488281,0.183105
663093,A,0.996948,-0.074707,-0.016235
663098,G,1.892090,-0.305176,0.061035
663103,A,0.996948,-0.074585,-0.018311
663108,G,1.831055,-0.427246,0.183105
663113,A,0.996826,-0.074463,-0.017822
663118,M,-9.143066,36.889648,-26.977539
663122,G,1.831055,-0.488281,0.061035
663127,A,0.996948,-0.074341,-0.018433
663132,G,1.708984,-0.488281,0.061035
663137,A,0.997314,-0.075073,-0.017700
663142,G,1.770020,-0.488281,0.183105
663147,A,0.996826,-0.074463,-0.016968
663152,G,1.953125,-0.549316,0.183105
663157,A,0.996826,-0.074341,-0.017212
663162,G,1.831055,-0.549316,0.061035
663167,A,0.997192,-0.074341,-0.018555
663172,M,-10.156250,36.804199,-26.110840
663176,G,1.708984,-0.366211,0.244141
663181,A,0.996338,-0.073975,-0.016968
663186,G,1.953125,-0.549316,0.244141
663191,A,0.996704,-0.074707,-0.017700
663196,G,1.770020,-0.488281,0.244141
663201,A,0.996460,-0.074219,-0.017578
663206,G,1.831055,-0.427246,0.244141
663211,A,0.996948,-0.074829,-0.017822
663216,G,1.770020,-0.427246,0.122070
663221,A,0.995728,-0.074463,-0.017578
663226,M,-9.069824,36.755371,-27.062988
663230,G,1.770020,-0.366211,0.122070
663235,A,0.996704,-0.074707,-0.017822
663240,G,1.831055,-0.427246,0.183105
663245,A,0.996948,-0.074585,-0.018433
663250,G,1.953125,-0.366211,0.183105
663255,A,0.996460,-0.073975,-0.017822
663260,G,1.953125,-0.427246,0.183105
663265,A,0.996826,-0.073120,-0.017700
663270,M,-9.484863,36.767578,-26.135254
663274,G,1.708984,-0.427246,0.305176
663279,A,0.996216,-0.073975,-0.016846
663284,G,1.831055,-0.427246,0.244141
663289,A,0.996094,-0.074829,-0.018433
663294,G,1.770020,-0.305176,0.183105
663299,A,0.997192,-0.074951,-0.017944
663304,G,1.831055,-0.427246,0.122070
663309,A,0.994995,-0.074829,-0.018188
663314,G,1.831055,-0.488281,0.122070
663319,A,0.996460,-0.074219,-0.018188
663324,M,-9.521484,36.560059,-27.148437
663328,G,1.708984,-0.366211,0.061035
663333,A,0.996338,-0.074585,-0.017700
663338,G,1.708984,-0.488281,0.122070
663343,A,0.996338,-0.074097,-0.016724
663348,G,1.770020,-0.366211,0.183105
663353,A,0.996826,-0.074341,-0.018066
663358,G,1.770020,-0.366211,0.183105
663363,A,0.996338,-0.074585,-0.018433
663368,G,1.770020,-0.488281,0.122070
663373,A,0.995850,-0.074829,-0.016968
663378,M,-9.680176,37.329102,-27.307129
663382,G,1.770020,-0.305176,0.061035
663387,A,0.996216,-0.073975,-0.016968
663392,G,1.770020,-0.488281,0.183105
663397,A,0.996460,-0.073853,-0.017456
663402,G,1.770020,-0.366211,0.183105
663407,A,0.996338,-0.074463,-0.017090
663412,G,1.953125,-0.488281,0.244141
663417,A,0.996826,-0.074097,-0.017578
663422,M,-9.558105,36.669922,-25.549316
663426,G,1.770020,-0.305176,0.061035
663431,A,0.996948,-0.073853,-0.017212
663436,G,1.770020,-0.305176,0.061035
663441,A,0.997192,-0.074829,-0.018311
663446,G,1.831055,-0.427246,0.183105
663451,A,0.996582,-0.074097,-0.017334
663456,G,1.892090,-0.549316,0.244141
663461,A,0.997070,-0.073975,-0.017944
663466,G,1.770020,-0.610352,0.061035
663471,A,0.996948,-0.074585,-0.018188
663476,M,-9.558105,37.243652,-25.598145
663480,G,1.647949,-0.366211,0.061035
663485,A,0.996582,-0.074219,-0.016357
663490,G,1.586914,-0.366211,0.183105
663495,A,0.997192,-0.074219,-0.019409
663500,G,1.892090,-0.427246,0.244141
663505,A,0.996948,-0.074463,-0.017456
663510,G,1.892090,-0.549316,0.244141
663515,A,0.996216,-0.074707,-0.017700
663520,G,1.708984,-0.549316,0.244141
663525,A,0.996216,-0.074219,-0.018433
663530,M,-9.228516,37.023926,-26.245117
663534,G,1.647949,-0.427246,0.061035
663539,A,0.996948,-0.074219,-0.017822
663544,G,1.892090,-0.488281,0.183105
663549,A,0.996582,-0.074219,-0.018433
663554,G,1.892090,-0.305176,0.244141
663559,A,0.995361,-0.075439,-0.017700
663564,G,2.014160,-0.549316,0.183105
663569,A,0.995972,-0.074219,-0.017456
663574,M,-9.533691,37.060547,-26.330566
663578,G,2.014160,-0.488281,0.122070
663583,A,0.995850,-0.073975,-0.017334
663588,G,1.953125,-0.427246,0.183105
