Millis,Sensor,X,Y,Z
424947,M,-9.008789,37.268066,-28.173828
424951,G,2.075195,-0.732422,0.183105
424956,A,0.998413,-0.072998,-0.002563
424961,G,1.403809,-0.183105,0.183105
424966,A,0.993896,-0.075439,-0.024048
424971,G,2.319336,-0.549316,0.305176
424976,A,0.993896,-0.082031,-0.005493
424981,G,1.708984,-0.305176,0.244141
424986,A,0.997070,-0.074951,-0.037109
424991,G,1.770020,-0.488281,0.183105
424996,A,0.997437,-0.075806,-0.026001
425001,M,-9.570313,37.316895,-25.671387
425005,G,1.647949,-0.305176,0.122070
425010,A,0.994995,-0.069824,-0.003662
425015,G,1.953125,-0.549316,0.122070
425020,A,0.995728,-0.073242,-0.017334
425025,G,2.075195,-0.549316,0.244141
425030,A,1.000488,-0.072876,-0.018311
425035,G,1.464844,-0.366211,0.122070
425040,A,0.997559,-0.080444,0.004395
425045,G,2.014160,-0.366211,0.183105
425050,A,0.997925,-0.073486,-0.023682
425055,M,-8.996582,36.865234,-27.770996
425059,G,1.403809,-0.244141,0.244141
425064,A,0.997925,-0.073975,-0.028931
425070,G,2.075195,-0.427246,0.183105
425075,A,0.997681,-0.073975,-0.008179
425080,G,1.464844,-0.244141,0.244141
425085,A,0.994629,-0.075195,-0.023682
425090,G,2.197266,-0.427246,0.183105
425095,A,0.997192,-0.079102,-0.014404
425100,M,-9.545898,37.817383,-26.416016
425104,G,1.708984,-0.488281,0.122070
425109,A,0.996582,-0.075317,-0.031250
425114,G,1.892090,-0.732422,0.122070
425119,A,0.996216,-0.073975,-0.025635
425124,G,1.708984,-0.427246,0.183105
425129,A,0.998779,-0.071411,-0.012817
425134,G,2.136230,-0.732422,0.122070
425139,A,0.995728,-0.073608,-0.006470
425144,G,1.403809,-0.427246,0.183105
425149,A,0.994873,-0.072754,-0.012573
425154,M,-9.741211,36.572266,-27.832031
425158,G,1.586914,-0.366211,0.305176
425163,A,0.998779,-0.076050,-0.027954
425168,G,1.770020,-0.305176,0.244141
425173,A,0.997314,-0.077393,-0.021240
425178,G,2.136230,-0.488281,0.244141
425183,A,0.992554,-0.075195,-0.032227
425188,G,1.953125,-0.427246,0.183105
425193,A,0.993896,-0.072388,-0.015869
