Millis,Sensor,X,Y,Z
824396,A,0.996704,-0.074585,-0.023682
824401,G,1.770020,-0.366211,0.183105
824406,A,0.996826,-0.072510,-0.023682
824411,G,1.892090,-0.366211,0.061035
824416,A,0.997192,-0.073730,-0.018066
824421,M,-10.375977,37.841797,-27.014160
824425,G,1.647949,-0.427246,0.122070
824430,A,0.995605,-0.074463,-0.016846
824435,G,1.708984,-0.488281,0.244141
824440,A,0.996948,-0.075806,-0.017090
824445,G,1.892090,-0.427246,0.244141
824450,A,0.996094,-0.075439,-0.017334
824455,G,1.892090,-0.427246,0.244141
824460,A,0.995483,-0.073975,-0.020386
824465,G,1.831055,-0.244141,0.061035
824470,A,0.996338,-0.073364,-0.017334
824475,M,-12.268066,37.915039,-25.744629
824479,G,1.831055,-0.305176,0.122070
824484,A,0.996826,-0.073242,-0.018311
824489,G,1.892090,-0.305176,0.061035
824494,A,0.997070,-0.074829,-0.016113
824499,G,1.770020,-0.305176,0.244141
824504,A,0.997192,-0.076050,-0.016479
824509,G,1.831055,-0.427246,0.366211
824514,A,0.996704,-0.074951,-0.019287
824519,M,-10.083008,38.562012,-27.148437
824523,G,2.014160,-0.427246,0.244141
824528,A,0.995728,-0.073120,-0.021729
824533,G,1.770020,-0.305176,0.183105
824538,A,0.997070,-0.072632,-0.022583
824543,G,1.831055,-0.488281,0.244141
824548,A,0.997314,-0.075684,-0.017334
824553,G,1.953125,-0.427246,0.183105
824558,A,0.996094,-0.075684,-0.013062
824563,G,1.831055,-0.183105,0.122070
824568,A,0.996216,-0.075684,-0.017944
824573,M,-12.524414,37.304687,-25.183105
824578,G,1.770020,-0.427246,0.244141
824582,A,0.995850,-0.072510,-0.020752
824587,G,1.770020,-0.366211,0.122070
824592,A,0.996948,-0.072510,-0.022949
824597,G,1.770020,-0.305176,0.061035
824602,A,0.996094,-0.073608,-0.013306
824607,G,1.770020,-0.305176,0.183105
824612,A,0.996338,-0.076050,-0.020996
824617,G,1.892090,-0.366211,0.183105
824622,A,0.995483,-0.075073,-0.015503
824627,M,-9.631348,37.622070,-27.587891
824631,G,1.525879,-0.305176,0.305176
824636,A,0.996094,-0.073853,-0.017578
824641,G,1.586914,-0.488281,0.122070
824646,A,0.997070,-0.072266,-0.024292
824651,G,1.892090,-0.488281,0.244141
824656,A,0.996704,-0.072388,-0.021362
824661,G,1.770020,-0.427246,0.244141
824666,A,0.996338,-0.074463,-0.018677
824671,M,-11.987305,38.098145,-25.683594
824675,G,1.708984,-0.488281,0.244141
824680,A,0.996216,-0.076538,-0.015137
824685,G,1.770020,-0.244141,0.183105
824690,A,0.996460,-0.076416,-0.020996
824695,G,1.831055,-0.366211,0.244141
824700,A,0.996216,-0.074585,-0.019531
824705,G,2.075195,-0.305176,0.244141
824710,A,0.997314,-0.073242,-0.019165
824715,G,1.892090,-0.427246,0.244141
824720,A,0.996704,-0.073975,-0.016357
824725,M,-10.461426,38.012695,-26.794434
824729,G,1.831055,-0.366211,0.183105
824734,A,0.996582,-0.075806,-0.019653
824739,G,1.647949,-0.488281,0.183105
824744,A,0.996338,-0.076050,-0.014648
824749,G,1.831055,-0.488281,0.183105
824754,A,0.996582,-0.073486,-0.017212
824759,G,1.892090,-0.366211,0.244141
824764,A,0.995361,-0.073120,-0.026001
824769,G,1.892090,-0.427246,0.183105
824774,A,0.997559,-0.073608,-0.017578
824779,M,-12.304688,38.354492,-26.586914
824783,G,1.831055,-0.549316,0.244141
824788,A,0.996216,-0.074341,-0.015869
824793,G,1.953125,-0.488281,0.122070
824798,A,0.995605,-0.075806,-0.012451
824803,G,1.892090,-0.366211,0.122070
824808,A,0.996948,-0.074951,-0.015747
824813,G,1.892090,-0.549316,0.183105
824818,A,0.996338,-0.075195,-0.018066
824823,M,-10.278320,37.463379,-25.769043
824827,G,1.892090,-0.427246,0.122070
824832,A,0.998047,-0.072510,-0.015381
824837,G,1.647949,-0.366211,0.122070
824842,A,0.996704,-0.073975,-0.013428
824847,G,1.586914,-0.549316,0.000000
824852,A,0.997192,-0.074829,-0.013916
824857,G,1.708984,-0.427246,0.122070
824862,A,0.996826,-0.077148,-0.013306
824867,G,1.892090,-0.488281,0.183105
824872,A,0.995239,-0.075806,-0.021240
824877,M,-11.486816,37.658691,-27.001953
824881,G,1.892090,-0.427246,0.183105
824886,A,0.997803,-0.071533,-0.021729
824891,G,1.831055,-0.427246,0.183105
824896,A,0.996460,-0.073486,-0.017334
824901,G,1.770020,-0.366211,0.244141
824906,A,0.996338,-0.074341,-0.018921
824911,G,1.831055,-0.305176,0.183105
824916,A,0.995850,-0.075684,-0.016357
824921,G,1.647949,-0.488281,0.305176
824926,A,0.995850,-0.074097,-0.020996
824931,M,-10.949707,38.085937,-26.525879
