Millis,Sensor,X,Y,Z
1087156,A,0.994385,-0.074829,-0.022339
1087161,G,1.586914,-0.366211,0.122070
1087166,A,0.995972,-0.070923,-0.013428
1087171,G,1.770020,-0.427246,0.244141
1087176,A,0.997803,-0.072144,-0.024170
1087181,G,1.770020,-0.488281,0.122070
1087186,A,0.995972,-0.073364,-0.012207
1087191,G,1.892090,-0.488281,0.244141
1087196,A,0.997070,-0.072632,-0.026367
1087201,M,-8.459473,36.755371,-28.601074
1087205,G,1.708984,-0.305176,0.122070
1087210,A,0.993652,-0.077759,-0.025024
1087215,G,1.647949,-0.244141,0.000000
1087220,A,0.995239,-0.071899,-0.019409
1087225,G,1.708984,-0.610352,0.061035
1087230,A,0.995239,-0.070312,-0.020142
1087235,G,1.831055,-0.427246,0.122070
1087240,A,1.000366,-0.071777,-0.015015
1087245,G,1.953125,-0.427246,0.183105
1087250,A,0.996704,-0.077393,-0.011353
1087255,M,-9.826660,37.292480,-26.977539
1087259,G,1.770020,-0.427246,0.244141
1087264,A,0.995728,-0.076050,-0.023560
1087269,G,1.525879,-0.427246,0.244141
1087274,A,0.994629,-0.076172,-0.029907
1087279,G,1.586914,-0.427246,0.244141
1087284,A,0.995361,-0.074219,-0.017090
1087289,G,1.770020,-0.427246,0.244141
1087294,A,0.997070,-0.071777,-0.035156
1087299,M,-9.143066,36.645508,-26.733398
1087304,G,1.770020,-0.427246,0.122070
1087308,A,0.996704,-0.073364,-0.023315
1087313,G,1.708984,-0.305176,0.122070
1087318,A,0.994629,-0.074341,-0.018311
1087323,G,1.647949,-0.427246,0.183105
1087328,A,0.998169,-0.076050,-0.014404
1087333,G,1.831055,-0.488281,0.183105
1087338,A,0.996826,-0.074341,-0.002930
1087343,G,1.586914,-0.488281,0.183105
1087348,A,0.998901,-0.071899,-0.036499
1087353,M,-9.838867,36.364746,-27.954102
1087358,G,1.586914,-0.488281,0.061035
1087362,A,0.994019,-0.076172,-0.015503
1087367,G,1.770020,-0.488281,0.183105
1087372,A,0.997437,-0.072876,-0.014893
1087377,G,1.831055,-0.488281,0.305176
1087382,A,0.998291,-0.076782,-0.002563
1087387,G,1.586914,-0.427246,0.183105
1087392,A,0.995483,-0.074219,-0.051758
1087397,G,1.770020,-0.366211,0.244141
1087402,A,0.998779,-0.075439,0.000366
1087407,M,-9.143066,36.181641,-27.941895
1087411,G,2.014160,-0.305176,0.061035
1087416,A,0.997803,-0.073364,-0.019287
1087421,G,1.831055,-0.427246,0.244141
1087426,A,0.998779,-0.074097,-0.015747
1087431,G,1.708984,-0.427246,0.244141
1087436,A,0.996826,-0.074341,-0.028076
1087441,G,1.892090,-0.488281,0.244141
1087446,A,0.994263,-0.076538,-0.009766
1087451,M,-8.752441,36.523437,-28.405762
1087456,G,1.892090,-0.366211,0.183105
1087460,A,0.997437,-0.071777,-0.017700
1087465,G,1.892090,-0.427246,0.000000
1087470,A,0.997437,-0.071167,-0.023804
1087475,G,1.770020,-0.488281,0.244141
1087480,A,0.997803,-0.074707,-0.027344
1087485,G,1.647949,-0.305176,0.183105
1087490,A,0.997192,-0.075195,-0.008423
1087495,G,1.831055,-0.305176,0.122070
1087500,A,0.999512,-0.076782,-0.018066
1087505,M,-9.106445,35.827637,-26.525879
1087509,G,1.525879,-0.305176,0.122070
1087514,A,0.999390,-0.076538,-0.035889
1087519,G,2.014160,-0.549316,0.244141
1087524,A,0.996948,-0.074341,-0.028442
1087529,G,1.708984,-0.366211,0.244141
1087534,A,0.997314,-0.072876,-0.031128
1087539,G,1.831055,-0.488281,0.122070
1087544,A,0.994873,-0.074829,-0.023071
1087549,G,1.953125,-0.549316,0.122070
1087554,A,0.998535,-0.078369,-0.018188
1087559,M,-7.373047,35.241699,-28.271484
1087563,G,2.014160,-0.488281,0.183105
1087568,A,0.995972,-0.073364,-0.033936
1087573,G,1.586914,-0.549316,0.183105
1087578,A,0.998779,-0.072754,-0.029541
1087583,G,1.953125,-0.671387,0.183105
1087588,A,0.998413,-0.072388,-0.032837
1087593,G,1.953125,-0.549316,0.183105
1087598,A,0.995239,-0.075195,-0.000732
1087603,M,-7.629395,35.949707,-25.256348
1087608,G,1.953125,-0.549316,0.183105
1087612,A,0.998657,-0.074707,-0.026001
1087617,G,1.525879,-0.427246,0.183105
1087622,A,0.995605,-0.075195,-0.022461
1087627,G,1.892090,-0.427246,0.244141
1087632,A,0.995605,-0.076050,-0.015503
1087637,G,1.586914,-0.427246,0.244141
1087642,A,0.997314,-0.074951,-0.007813
1087647,G,1.770020,-0.549316,0.244141
1087652,A,0.997314,-0.074707,-0.033691
1087657,M,-6.848145,36.462402,-24.609375
1087661,G,1.647949,-0.427246,0.122070
1087666,A,0.995972,-0.074219,-0.014893
1087671,G,2.014160,-0.610352,0.244141
1087676,A,0.997437,-0.076050,-0.014771
1087681,G,1.831055,-0.427246,0.183105
1087686,A,0.996338,-0.075073,-0.012695
1087691,G,1.770020,-0.610352,0.122070
1087696,A,0.995483,-0.075073,-0.021851
1087701,G,1.770020,-0.610352,0.061035
1087706,A,0.996582,-0.071655,-0.025269
1087711,M,-9.240723,37.121582,-24.414062
1087715,G,1.708984,-0.488281,0.183105
1087720,A,0.995117,-0.072266,-0.017090
1087725,G,1.770020,-0.427246,0.061035
1087730,A,0.993652,-0.077026,-0.023193
1087735,G,1.831055,-0.488281,0.122070
1087740,A,0.995239,-0.073730,-0.008423
1087745,G,1.647949,-0.488281,0.183105
1087750,A,0.992554,-0.073853,-0.029419
1087755,M,-8.483887,36.169434,-27.172852
1087759,G,1.770020,-0.427246,0.183105
1087764,A,0.997437,-0.073730,-0.015747
1087769,G,1.586914,-0.427246,0.183105
1087774,A,0.995239,-0.072266,-0.015259
1087779,G,1.892090,-0.427246,0.061035
1087784,A,0.994507,-0.075317,-0.012451
1087789,G,1.770020,-0.427246,0.244141
1087794,A,0.996582,-0.075195,-0.011230
1087799,G,1.953125,-0.305176,0.244141
1087804,A,0.997314,-0.073242,-0.013306
1087809,M,-10.742188,36.926270,-26.110840
1087813,G,1.647949,-0.488281,0.183105
1087818,A,0.995483,-0.073242,-0.029907
1087823,G,1.770020,-0.427246,0.122070
1087828,A,0.995972,-0.072388,-0.015869
1087833,G,1.831055,-0.427246,0.122070
1087838,A,0.998657,-0.074707,-0.023560
1087843,G,1.647949,-0.427246,0.183105
1087848,A,0.994019,-0.076660,-0.007935
1087853,G,1.770020,-0.366211,0.061035
1087858,A,0.995117,-0.074707,-0.024048
1087863,M,-7.788086,35.644531,-28.320312
1087868,G,1.708984,-0.488281,0.122070
1087872,A,0.995239,-0.072266,-0.018066
1087877,G,2.014160,-0.427246,0.183105
1087882,A,1.000244,-0.072998,-0.030762
1087887,G,2.075195,-0.366211,0.183105
1087892,A,1.002686,-0.069580,-0.012085
1087897,G,1.892090,-0.366211,0.244141
1087902,A,1.001465,-0.077759,-0.027710
1087907,M,-10.632324,36.669922,-25.939941
1087912,G,1.647949,-0.366211,0.183105
1087916,A,0.997192,-0.078613,-0.032471
1087921,G,1.708984,-0.427246,0.244141
1087926,A,0.999390,-0.075073,-0.043823
1087931,G,1.831055,-0.427246,0.244141
1087936,A,0.994141,-0.073853,-0.019165
1087941,G,1.708984,-0.488281,0.244141
1087946,A,0.996948,-0.072754,-0.028442
1087951,G,1.647949,-0.549316,0.061035
1087956,A,0.997437,-0.074341,-0.031250
1087961,M,-6.835937,36.145020,-27.001953
1087966,G,1.708984,-0.366211,0.061035
1087970,A,0.997192,-0.073608,-0.007935
1087976,G,1.708984,-0.305176,0.061035
1087981,A,0.996216,-0.074463,-0.019653
1087987,G,1.831055,-0.671387,0.122070
